City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Warrnambool,AU,-38.3833,142.4833,50.81,60,100,9.8,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,82.53,71,97,8.5,overcast clouds
130,Ylivieska,FI,64.0833,24.55,50.88,96,100,8.03,overcast clouds
131,Diplo,PK,24.4667,69.584,84.78,62,3,8.68,clear sky
132,Muros,ES,42.7762,-9.0603,68.5,91,100,2.42,overcast clouds
133,Port Hardy,CA,50.6996,-127.4199,49.5,84,99,9.8,overcast clouds
134,Badajoz,ES,38.6667,-6.1667,74.3,43,0,4.14,clear sky
135,Cururupu,BR,-1.8283,-44.8683,83.97,65,18,6.51,few clouds
136,Tiksi,RU,71.6872,128.8694,15.31,89,100,10.09,overcast clouds
137,Meulaboh,ID,4.1363,96.1285,76.68,88,100,3.85,overcast clouds
138,Tignere,CM,7.3667,12.65,67.03,90,100,1.28,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,62.67,67,1,20.71,clear sky
140,Boffa,GN,10.1667,-14.0333,81.5,89,91,3.76,light rain
141,Cidreira,BR,-30.1811,-50.2056,64.18,71,100,15.12,overcast clouds
142,Vestmannaeyjar,IS,63.4427,-20.2734,49.32,92,41,17.47,scattered clouds
143,Sakyla,FI,61.0333,22.3333,53.19,88,100,6.76,overcast clouds
144,Ugoofaaru,MV,5.6667,73.0,82.33,79,38,16.42,scattered clouds
145,Oranjemund,NA,-28.55,16.4333,56.59,84,4,4.99,clear sky
146,Brora,GB,58.0099,-3.8518,62.06,99,100,4.07,overcast clouds
147,Chokwe,MZ,-24.5333,32.9833,76.21,45,0,13.89,clear sky
148,Yaan,NG,7.3833,8.5667,78.22,83,100,4.16,overcast clouds
149,Lighthouse Point,US,26.2756,-80.0873,90.05,74,90,9.22,overcast clouds
150,Panguna,PG,-6.3164,155.4848,69.69,97,100,3.76,moderate rain
151,Tual,ID,-5.6667,132.75,82.09,78,96,11.05,overcast clouds
152,Lavrentiya,RU,65.5833,-171.0,34.68,91,100,17.9,light rain
153,Port Elizabeth,ZA,-33.918,25.5701,58.1,78,95,6.67,overcast clouds
154,Livingston,GB,55.9029,-3.5226,60.48,85,0,9.22,clear sky
155,Boma,GH,7.0805,-2.1697,74.46,94,94,1.99,light rain
156,Paranaiba,BR,-19.6772,-51.1908,95.68,28,94,6.49,overcast clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,57.22,62,0,10.0,clear sky
158,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,55,13.85,light rain
159,Waterfoot,GB,53.6929,-2.2525,59.56,95,70,3.42,broken clouds
160,Ponta Delgada,PT,37.7333,-25.6667,71.51,77,20,8.05,few clouds
161,Ostuni,IT,40.7276,17.5764,61.59,74,40,1.7,scattered clouds
162,Amuntai,ID,-2.4177,115.2494,74.03,97,100,2.08,overcast clouds
163,Provideniya,RU,64.3833,-173.3,34.83,93,100,12.91,overcast clouds
164,Mendeleyevsk,RU,55.9082,52.2905,36.64,70,2,6.6,clear sky
165,Kaitangata,NZ,-46.2817,169.8464,48.87,96,100,4.36,moderate rain
166,Mayo,US,38.8876,-76.5119,78.91,60,1,4.0,clear sky
167,Igrim,RU,63.1906,64.4162,40.86,68,94,15.52,overcast clouds
168,Suntar,RU,62.1444,117.6319,34.3,96,100,8.21,overcast clouds
169,Dasoguz,TM,41.8363,59.9666,41.11,50,0,8.68,clear sky
170,Mehamn,NO,71.0357,27.8492,37.58,86,75,4.61,broken clouds
171,Bambanglipuro,ID,-7.95,110.2833,59.61,82,92,5.46,overcast clouds
172,Saint George,US,37.1041,-113.5841,61.39,84,90,3.0,light rain
173,Kamina,CD,-8.7386,24.9906,73.13,37,0,0.65,clear sky
174,Nome,US,64.5011,-165.4064,37.47,87,90,21.85,light rain
175,Vanimo,PG,-2.6741,141.3028,78.31,90,71,6.71,broken clouds
176,Severo-Kurilsk,RU,50.6789,156.125,45.59,85,95,11.03,light rain
177,Pozoblanco,ES,38.3791,-4.8483,66.78,37,3,3.42,clear sky
178,Novobirilyussy,RU,56.9514,90.6661,39.2,97,100,13.76,light rain
179,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,79,8,4.97,clear sky
180,Tromso,NO,69.6496,18.957,36.37,80,0,3.44,clear sky
181,Upata,VE,8.0086,-62.3989,82.47,70,86,3.87,overcast clouds
182,Ananindeua,BR,-1.3656,-48.3722,84.11,70,75,5.75,broken clouds
183,Kyotera,UG,-0.6156,31.5175,69.73,72,73,1.12,broken clouds
184,Jieshi,CN,22.8134,115.8257,77.95,88,100,21.0,moderate rain
185,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.04,76,100,9.46,overcast clouds
186,Inongo,CD,-1.95,18.2667,74.71,85,85,2.26,overcast clouds
187,Yerraguntla,IN,14.6372,78.5395,80.94,79,100,3.49,overcast clouds
188,Half Moon Bay,US,37.4636,-122.4286,68.92,57,20,1.01,few clouds
189,Sungairaya,ID,0.7,108.9,77.77,86,56,6.38,broken clouds
190,Waycross,US,31.2136,-82.354,81.07,83,75,0.0,broken clouds
191,Klaksvik,FO,62.2266,-6.589,50.92,96,95,15.88,overcast clouds
192,Berbera,SO,10.4396,45.0143,87.98,71,9,9.66,clear sky
193,New Norfolk,AU,-42.7826,147.0587,53.71,47,83,4.05,broken clouds
194,Alekseyevsk,RU,57.8406,108.3492,34.34,96,100,9.28,overcast clouds
195,Longview,US,32.5007,-94.7405,92.98,34,1,1.99,clear sky
196,Ahuimanu,US,21.4447,-157.8378,83.91,58,40,18.41,scattered clouds
197,Rundu,NA,-17.9333,19.7667,75.38,40,0,3.74,clear sky
198,Oksfjord,NO,70.2396,22.3479,38.32,90,100,6.76,overcast clouds
