City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Puerto Ayora,EC,2021-10-06 00:22:48,-0.7393,-90.3518,69.55,90,67,7.0
105,Bintulu,MY,2021-10-06 00:22:48,3.1667,113.0333,75.61,94,40,3.44
106,Nishihara,JP,2021-10-06 00:22:49,26.1842,127.7558,82.06,89,75,10.36
107,Boulder City,US,2021-10-06 00:22:49,35.9786,-114.8325,77.72,33,1,10.36
108,Asfi,MA,2021-10-06 00:22:50,32.2994,-9.2372,69.03,65,88,18.14
109,Labuhan,ID,2021-10-06 00:22:50,-6.8844,112.2051,79.75,71,80,15.57
110,Port Hardy,CA,2021-10-06 00:22:51,50.6996,-127.4199,46.58,100,90,5.75
111,Airai,TL,2021-10-06 00:21:50,-8.9266,125.4092,73.74,39,72,2.19
112,Torbay,CA,2021-10-06 00:22:51,47.6666,-52.7314,47.57,81,90,10.36
113,Umba,RU,2021-10-06 00:22:51,66.6871,34.3429,46.9,90,90,15.68
114,Port Blair,IN,2021-10-06 00:22:52,11.6667,92.75,79.5,80,99,12.66
115,Kirakira,SB,2021-10-06 00:22:52,-10.4544,161.9205,84.38,71,90,8.5
116,Port Elizabeth,ZA,2021-10-06 00:18:53,-33.918,25.5701,59.29,88,0,9.22
117,Turinsk,RU,2021-10-06 00:22:53,58.0458,63.696,34.56,87,100,4.68
118,Sturgeon Falls,CA,2021-10-06 00:22:53,46.3646,-79.9326,61.09,76,0,1.74
119,Cape Town,ZA,2021-10-06 00:21:34,-33.9258,18.4232,61.11,62,0,3.0
120,Severo-Kurilsk,RU,2021-10-06 00:22:54,50.6789,156.125,44.85,67,57,21.34
121,Qixia,CN,2021-10-06 00:22:54,37.2975,120.8256,59.95,77,100,6.76
122,Zhezkazgan,KZ,2021-10-06 00:22:55,47.8043,67.7144,27.39,81,7,10.31
123,Takoradi,GH,2021-10-06 00:22:55,4.8845,-1.7554,76.96,91,99,5.26
124,Mosquera,CO,2021-10-06 00:22:55,4.7059,-74.2302,55.49,94,40,2.3
125,Bonthe,SL,2021-10-06 00:22:56,7.5264,-12.505,77.81,89,51,5.21
126,Bambous Virieux,MU,2021-10-06 00:22:56,-20.3428,57.7575,70.21,94,20,5.75
127,Kangaatsiaq,GL,2021-10-06 00:22:57,68.3065,-53.4641,33.04,68,100,10.65
128,Kununurra,AU,2021-10-06 00:21:31,-15.7667,128.7333,87.78,70,21,5.75
129,Paamiut,GL,2021-10-06 00:22:57,61.994,-49.6678,36.66,78,43,12.48
130,Arlington,US,2021-10-06 00:19:36,32.7357,-97.1081,82.53,41,1,4.61
131,Mannarakkat,IN,2021-10-06 00:22:58,10.9833,76.4667,76.55,98,100,2.84
132,Atambua,ID,2021-10-06 00:22:08,-9.1061,124.8925,82.49,52,38,1.32
133,Codrington,AU,2021-10-06 00:21:37,-38.2667,141.9667,59.07,59,37,14.52
134,Durban,ZA,2021-10-06 00:20:39,-29.8579,31.0292,63.91,96,99,4.0
135,Westport,US,2021-10-06 00:22:59,41.1415,-73.3579,64.18,89,90,4.0
136,Lerwick,GB,2021-10-06 00:22:59,60.1545,-1.1494,48.2,82,100,12.68
137,Rocafuerte,EC,2021-10-06 00:23:00,-0.9167,-80.4333,75.07,73,66,6.44
138,Liwale,TZ,2021-10-06 00:23:00,-9.7667,37.9333,64.47,95,18,2.51
139,Lompoc,US,2021-10-06 00:23:00,34.6391,-120.4579,79.02,81,75,11.5
140,Truth Or Consequences,US,2021-10-06 00:20:55,33.1284,-107.2528,80.83,29,1,4.61
141,Elliot,ZA,2021-10-06 00:23:01,-31.3333,27.85,44.91,93,47,1.7
142,Coihaique,CL,2021-10-06 00:23:02,-45.5752,-72.0662,44.55,49,0,37.98
143,Alihe,CN,2021-10-06 00:23:02,50.5667,123.7167,40.17,66,4,2.93
144,Ustye,RU,2021-10-06 00:23:02,59.6304,39.736,37.02,88,5,6.8
145,Ledyard,US,2021-10-06 00:23:03,41.4398,-72.0142,60.3,83,90,5.75
146,Yar-Sale,RU,2021-10-06 00:23:04,66.8333,70.8333,37.15,88,43,10.89
147,Pinega,RU,2021-10-06 00:23:04,64.7001,43.3936,43.3,82,61,12.75
148,Horasan,TR,2021-10-06 00:23:05,40.0458,42.1728,45.41,81,99,1.41
149,Haines Junction,CA,2021-10-06 00:23:07,60.7522,-137.5108,40.95,45,89,4.61
150,Kijang,KR,2021-10-06 00:23:08,35.2442,129.2139,76.73,76,24,6.73
151,Kavieng,PG,2021-10-06 00:23:08,-2.5744,150.7967,78.69,90,100,14.52
152,Tsabong,BW,2021-10-06 00:23:09,-26.0217,22.401,64.65,45,0,10.56
153,Racale,IT,2021-10-06 00:23:09,39.9631,18.0938,64.27,82,53,11.77
154,Aklavik,CA,2021-10-06 00:23:10,68.2191,-135.0107,34.63,77,10,10.18
155,Khani,GE,2021-10-06 00:23:10,41.9563,42.9566,47.77,97,100,3.51
156,Norman Wells,CA,2021-10-06 00:23:11,65.282,-126.8329,33.84,80,75,5.75
157,Abu Zabad,SD,2021-10-06 00:23:11,12.35,29.25,79.03,29,51,8.5
158,Tonantins,BR,2021-10-06 00:23:12,-2.8731,-67.8022,75.0,98,100,2.64
159,Zachepylivka,UA,2021-10-06 00:23:12,49.1939,35.2394,46.62,73,70,10.94
160,Dudhani,IN,2021-10-06 00:23:13,17.3667,76.3667,75.88,86,100,7.11
161,Cidreira,BR,2021-10-06 00:21:43,-30.1811,-50.2056,59.23,63,0,11.65
162,Sembe,CG,2021-10-06 00:23:13,1.6481,14.5806,69.49,97,31,2.39
163,Marsa Matruh,EG,2021-10-06 00:23:14,31.3525,27.2453,70.5,67,0,12.03
164,Prince Rupert,CA,2021-10-06 00:23:14,54.3161,-130.3201,55.49,62,75,9.22
165,Concarneau,FR,2021-10-06 00:23:14,47.875,-3.9225,54.37,81,48,8.25
166,Surgut,RU,2021-10-06 00:23:15,61.25,73.4167,35.78,93,40,8.95
167,Kyaukse,MM,2021-10-06 00:23:15,21.6,96.1333,78.8,94,75,2.3
168,Kahului,US,2021-10-06 00:23:16,20.8947,-156.47,87.82,63,40,24.16
169,Ilulissat,GL,2021-10-06 00:21:51,69.2167,-51.1,23.94,65,95,9.66
170,La Ronge,CA,2021-10-06 00:23:17,55.1001,-105.2842,52.05,32,75,13.8
171,Port Alfred,ZA,2021-10-06 00:21:33,-33.5906,26.891,60.46,83,22,12.64
172,Buala,SB,2021-10-06 00:23:17,-8.145,159.5921,84.85,69,69,7.63
173,Kurilsk,RU,2021-10-06 00:23:18,45.2333,147.8833,48.96,54,17,6.49
174,Los Llanos De Aridane,ES,2021-10-06 00:23:18,28.6585,-17.9182,67.75,78,40,9.22
175,East London,ZA,2021-10-06 00:21:40,-33.0153,27.9116,59.23,85,24,7.18
176,Thio,NC,2021-10-06 00:23:19,-21.6167,166.2167,84.16,58,0,2.64
177,Skibotn,NO,2021-10-06 00:23:19,69.3913,20.2679,48.29,90,87,8.66
178,Tazovskiy,RU,2021-10-06 00:23:20,67.4667,78.7,40.42,95,100,19.73
179,Lilongwe,MW,2021-10-06 00:20:07,-13.9669,33.7873,70.93,43,13,6.17
180,Komsomolskiy,UZ,2021-10-06 00:23:21,40.4272,71.7189,54.32,71,40,2.3
181,Galesong,ID,2021-10-06 00:23:21,-5.3166,119.3661,80.62,72,100,12.93
182,Phangnga,TH,2021-10-06 00:23:21,8.4509,98.5298,82.9,92,100,3.0
183,Helena,US,2021-10-06 00:23:22,46.5927,-112.0361,79.79,17,1,3.44
184,Coquimbo,CL,2021-10-06 00:22:52,-29.9533,-71.3436,55.13,82,0,4.61
185,Chuy,UY,2021-10-06 00:23:23,-33.6971,-53.4616,52.92,79,0,7.67
186,Douglas,US,2021-10-06 00:23:23,41.3,-96.167,73.15,66,90,1.01
187,Katsuura,JP,2021-10-06 00:23:24,35.1333,140.3,78.84,69,80,1.14
188,Dingle,PH,2021-10-06 00:23:24,10.9995,122.6711,77.86,87,100,2.84
189,Vadamadurai,IN,2021-10-06 00:23:25,10.4667,78.0833,75.07,86,100,2.55
190,Bystryy Istok,RU,2021-10-06 00:23:25,52.371,84.3873,35.19,95,100,1.88
191,Thongwa,MM,2021-10-06 00:23:26,16.7619,96.5278,80.76,94,31,3.74
192,Salalah,OM,2021-10-06 00:23:26,17.0151,54.0924,80.69,89,75,5.75
193,Osakarovka,KZ,2021-10-06 00:23:27,50.565,72.5692,29.41,94,100,13.85
194,Praya,CV,2021-10-06 00:20:12,14.9215,-23.5087,79.34,83,20,11.5
195,Kargasok,RU,2021-10-06 00:23:27,59.0556,80.8572,27.01,85,74,5.08
196,Dauphin,CA,2021-10-06 00:23:28,51.1494,-100.0502,64.54,63,1,5.75
197,New Norfolk,AU,2021-10-06 00:21:58,-42.7826,147.0587,60.71,45,83,4.0
198,Vestmanna,FO,2021-10-06 00:23:28,62.1564,-7.1664,36.52,100,20,1.14
199,Mandera,KE,2021-10-06 00:23:29,3.9366,41.867,77.97,61,82,12.06
200,Peniche,PT,2021-10-06 00:23:29,39.3558,-9.3811,66.61,93,87,9.57
201,Lavrentiya,RU,2021-10-06 00:23:30,65.5833,-171.0,36.3,99,100,4.52
202,Faanui,PF,2021-10-06 00:21:48,-16.4833,-151.75,79.36,63,8,13.44
203,Dicabisagan,PH,2021-10-06 00:23:31,17.0818,122.4157,76.6,94,100,2.15
204,Terre Haute,US,2021-10-06 00:23:31,39.4667,-87.4139,70.97,84,1,3.44
205,Touros,BR,2021-10-06 00:23:31,-5.1989,-35.4608,79.7,80,26,14.03
206,Kingaroy,AU,2021-10-06 00:23:32,-26.5333,151.8333,77.05,27,0,5.44
207,Saalfeld,DE,2021-10-06 00:23:32,50.65,11.3667,56.14,87,87,11.5
208,Vallenar,CL,2021-10-06 00:23:33,-28.5708,-70.7581,62.55,53,0,2.82
209,San Rafael,AR,2021-10-06 00:23:33,-34.6177,-68.3301,64.08,16,0,16.71
210,Lagoa,PT,2021-10-06 00:23:34,39.05,-27.9833,72.01,84,85,10.02
211,Bethel,US,2021-10-06 00:21:41,41.3712,-73.414,61.99,88,90,4.61
212,Abbeville,FR,2021-10-06 00:23:34,50.1,1.8333,57.16,84,3,17.58
213,Novorzhev,RU,2021-10-06 00:23:34,57.0294,29.3338,45.86,78,92,10.0
214,Kavaratti,IN,2021-10-06 00:23:35,10.5669,72.642,81.82,80,99,15.21
215,Bluff,NZ,2021-10-06 00:21:31,-46.6,168.3333,66.79,79,100,5.19
216,Hargeysa,SO,2021-10-06 00:23:36,9.56,44.065,72.79,64,11,13.42
217,Miri,MY,2021-10-06 00:23:36,4.4148,114.0089,75.34,94,40,8.05
218,Arman,RU,2021-10-06 00:23:37,59.7,150.1667,32.41,38,0,9.19
219,Mar Del Plata,AR,2021-10-06 00:17:47,-38.0023,-57.5575,64.42,55,0,13.8
220,Saldanha,ZA,2021-10-06 00:23:37,-33.0117,17.9442,57.25,67,15,9.01
221,Rio Gallegos,AR,2021-10-06 00:21:42,-51.6226,-69.2181,41.05,52,0,10.36
222,Warburton,PK,2021-10-06 00:23:38,31.55,73.8333,80.8,68,0,3.98
223,Vao,NC,2021-10-06 00:23:38,-22.6667,167.4833,72.16,84,19,2.51
224,Makasar,ID,2021-10-06 00:22:02,-5.14,119.4221,80.65,78,20,3.44
225,Berezivka,UA,2021-10-06 00:23:39,47.2043,30.9078,48.22,62,18,8.7
226,Altamira,BR,2021-10-06 00:21:05,-3.2033,-52.2064,81.12,54,90,3.4
227,Pisco,PE,2021-10-06 00:21:30,-13.7,-76.2167,62.65,82,91,16.11
228,Leningradskiy,RU,2021-10-06 00:23:40,69.3833,178.4167,30.45,98,100,8.59
229,Cap Malheureux,MU,2021-10-06 00:23:40,-19.9842,57.6142,70.47,82,34,1.01
230,Clyde River,CA,2021-10-06 00:23:41,70.4692,-68.5914,34.03,100,90,5.75
231,Tinqueux,FR,2021-10-06 00:23:41,49.25,3.9833,51.82,82,0,6.91
232,Naze,JP,2021-10-06 00:23:41,28.3667,129.4833,81.52,67,76,16.33
233,Andilamena,MG,2021-10-06 00:23:42,-17.0167,48.5833,55.54,93,25,3.33
234,Lorengau,PG,2021-10-06 00:23:42,-2.0226,147.2712,79.41,86,100,5.19
235,South Lake Tahoe,US,2021-10-06 00:23:43,38.9332,-119.9844,69.73,36,1,11.5
236,San Patricio,US,2021-10-06 00:23:43,28.017,-97.5169,84.29,40,0,7.27
237,Sobolevo,RU,2021-10-06 00:23:44,54.4299,31.8996,40.33,88,0,8.19
238,Goderich,CA,2021-10-06 00:23:44,43.7501,-81.7165,63.21,88,18,3.44
239,Biloela,AU,2021-10-06 00:23:45,-24.4167,150.5,80.01,16,0,10.0
240,Sukumo,JP,2021-10-06 00:23:45,32.9333,132.7333,76.32,61,7,3.65
241,Kathor,IN,2021-10-06 00:23:46,21.3,72.9333,79.79,80,91,4.7
242,Manggar,ID,2021-10-06 00:23:46,-2.8833,108.2667,80.44,78,100,3.62
243,Palmares Do Sul,BR,2021-10-06 00:23:47,-30.2578,-50.5097,55.81,69,0,8.9
244,Rosamorada,MX,2021-10-06 00:23:47,22.1222,-105.2058,84.18,83,42,4.94
245,Lebane,RS,2021-10-06 00:23:48,42.9239,21.7375,59.59,80,0,2.04
246,Esperance,AU,2021-10-06 00:23:48,-33.8667,121.9,55.24,62,97,8.97
247,Saskylakh,RU,2021-10-06 00:23:48,71.9167,114.0833,20.34,97,100,2.73
248,Celestun,MX,2021-10-06 00:23:49,20.8667,-90.4,81.95,73,28,8.5
249,Kitui,KE,2021-10-06 00:23:49,-1.367,38.0106,60.66,90,97,5.17
250,Encantado,BR,2021-10-06 00:23:50,-29.2361,-51.8697,52.14,91,4,1.54
251,Longyearbyen,SJ,2021-10-06 00:21:29,78.2186,15.6401,37.24,75,75,13.8
252,Kenai,US,2021-10-06 00:23:50,60.5544,-151.2583,45.09,71,90,0.0
253,Waipawa,NZ,2021-10-06 00:23:50,-41.4122,175.5153,60.46,76,100,7.67
254,Tangwani,PK,2021-10-06 00:23:51,28.2787,68.9972,86.02,44,7,4.81
255,Santana,BR,2021-10-06 00:23:52,-0.0583,-51.1817,86.18,79,20,9.22
256,Olafsvik,IS,2021-10-06 00:21:35,64.8945,-23.7142,40.1,77,93,12.39
